 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.08663     Clsurf  =  -0.01313
     CYsurf  =  -0.00759     Cmsurf  =  -0.01905
     CDsurf  =   0.00152     Cnsurf  =   0.00022
     CDisurf =   0.00152     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.17050     CDsurf  =   0.00297

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    53  36.6781  25.7659   1.3006   4.7806   2.8615   0.5022  -0.0045   0.1374   0.1051  -0.0020   0.0000  -0.0674  -0.0798    0.892
    54  37.0428  26.3559   1.3522   4.6352   2.7141   0.4774  -0.0045   0.1347   0.1030  -0.0020   0.0000  -0.0678  -0.0797    0.908
    55  37.3992  26.9323   1.4027   4.4931   2.5684   0.4543  -0.0044   0.1323   0.1011  -0.0020   0.0000  -0.0680  -0.0795    0.923
    56  37.7468  27.4945   1.4518   4.3545   2.4247   0.4330  -0.0044   0.1301   0.0994  -0.0019   0.0000  -0.0682  -0.0792    0.936
    57  38.0850  28.0415   1.4997   4.2197   2.2835   0.4133  -0.0042   0.1281   0.0979  -0.0019   0.0000  -0.0683  -0.0790    0.948
    58  38.4133  28.5725   1.5461   4.0888   2.1452   0.3950  -0.0041   0.1263   0.0966  -0.0019   0.0000  -0.0684  -0.0788    0.958
    59  38.7312  29.0866   1.5911   3.9621   2.0101   0.3781  -0.0039   0.1248   0.0954  -0.0019   0.0000  -0.0685  -0.0786    0.967
    60  39.0382  29.5831   1.6346   3.8397   1.8786   0.3626  -0.0036   0.1235   0.0944  -0.0018   0.0000  -0.0685  -0.0784    0.975
    61  39.3338  30.0612   1.6764   3.7219   1.7508   0.3484  -0.0032   0.1224   0.0936  -0.0018   0.0000  -0.0685  -0.0782    0.982
    62  39.6175  30.5202   1.7165   3.6087   1.6269   0.3354  -0.0027   0.1216   0.0930  -0.0019   0.0000  -0.0684  -0.0781    0.986
    63  39.8890  30.9593   1.7550   3.5005   1.5072   0.3236  -0.0020   0.1209   0.0924  -0.0019   0.0000  -0.0683  -0.0778    0.989
    64  40.1478  31.3779   1.7916   3.3973   1.3917   0.3127  -0.0012   0.1204   0.0920  -0.0019   0.0000  -0.0680  -0.0775    0.989
    65  40.3935  31.7753   1.8263   3.2994   1.2804   0.3024  -0.0001   0.1199   0.0917  -0.0021   0.0000  -0.0674  -0.0769    0.986
    66  40.6258  32.1509   1.8592   3.2068   1.1734   0.2925   0.0012   0.1193   0.0912  -0.0023   0.0000  -0.0664  -0.0760    0.978
    67  40.8442  32.5042   1.8901   3.1197   1.0707   0.2825   0.0026   0.1184   0.0906  -0.0027   0.0000  -0.0647  -0.0744    0.965
