 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.24587     Clsurf  =  -0.04528
     CYsurf  =  -0.01924     Cmsurf  =  -0.94387
     CDsurf  =   0.00508     Cnsurf  =   0.00699
     CDisurf =   0.00508     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.48353     CDsurf  =   0.00996

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    62  41.8525  33.7408   1.9984   2.6418   0.7761   0.9608   0.0225   1.6673   0.3639   0.0012   0.0000  -0.0350  -0.0522    0.346
    63  42.4709  34.0170   2.0225   2.2558   0.5879   0.8657   0.0294   1.7618   0.3845  -0.0135   0.0000  -0.0257  -0.0505    0.317
    64  43.0147  34.2599   2.0438   1.9163   0.4349   0.7684   0.0371   1.8422   0.4020  -0.0224   0.0000  -0.0185  -0.0494    0.296
    65  43.4828  34.4691   2.0621   1.6240   0.3131   0.6658   0.0444   1.8846   0.4113  -0.0308   0.0000  -0.0093  -0.0466    0.272
    66  43.8744  34.6440   2.0774   1.3796   0.2184   0.5561   0.0499   1.8545   0.4047  -0.0394   0.0000   0.0036  -0.0406    0.241
    67  44.1886  34.7843   2.0896   1.1834   0.1461   0.4396   0.0534   1.7109   0.3734  -0.0479   0.0000   0.0185  -0.0313    0.201
    68  44.4248  34.8899   2.0989   1.0359   0.0915   0.3177   0.0553   1.4148   0.3088  -0.0542   0.0000   0.0296  -0.0200    0.154
    69  44.5826  34.9603   2.1050   0.9375   0.0498   0.1921   0.0566   0.9481   0.2069  -0.0529   0.0000   0.0287  -0.0097    0.111
    70  44.6615  34.9956   2.1081   0.8882   0.0157   0.0643   0.0575   0.3371   0.0736  -0.0326   0.0000   0.0120  -0.0027    0.087

  Surface # 2     main_wing (YDUP)                        
     # Chordwise = 10   # Spanwise = 70     First strip = 71
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.24587     Clsurf  =   0.04528
     CYsurf  =   0.01924     Cmsurf  =  -0.94387
     CDsurf  =   0.00508     Cnsurf  =  -0.00699
     CDisurf =   0.00508     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.48353     CDsurf  =   0.00996

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    71  22.4080  -0.0042  -0.9570  12.4590   0.2104   5.7337  -0.0103   0.4598   0.4598   0.0195   0.0000  -0.0880   0.2031    0.441
    72  22.4080  -0.0380  -0.9570  12.4590   0.6307   5.7338  -0.0103   0.4598   0.4598   0.0194   0.0000  -0.0880   0.2031    0.441
    73  22.4080  -0.1054  -0.9570  12.4590   1.0498   5.7344  -0.0104   0.4599   0.4599   0.0193   0.0000  -0.0880   0.2031    0.441
    74  22.4080  -0.2065  -0.9570  12.4590   1.4668   5.7365  -0.0105   0.4600   0.4600   0.0191   0.0000  -0.0882   0.2033    0.442
    75  22.4080  -0.3408  -0.9570  12.4590   1.8808   5.7414  -0.0107   0.4604   0.4604   0.0190   0.0000  -0.0884   0.2037    0.442
    76  22.4080  -0.5083  -0.9570  12.4590   2.2910   5.7511  -0.0111   0.4612   0.4612   0.0189   0.0000  -0.0890   0.2044    0.443
    77  22.4080  -0.7085  -0.9570  12.4590   2.6966   5.7681  -0.0118   0.4626   0.4626   0.0188   0.0000  -0.0899   0.2056    0.444
    78  22.4080  -0.9411  -0.9570  12.4590   3.0968   5.7958  -0.0128   0.4648   0.4648   0.0188   0.0000  -0.0914   0.2077    0.447
    79  22.4080  -1.2055  -0.9570  12.4590   3.4907   5.8392  -0.0139   0.4683   0.4683   0.0189   0.0000  -0.0936   0.2107    0.450
    80  22.4080  -1.5013  -0.9570  12.4590   3.8776   5.9055  -0.0150   0.4736   0.4736   0.0192   0.0000  -0.0969   0.2154    0.455
    81  22.4080  -1.8278  -0.9570  12.4590   4.2567   6.0081  -0.0153   0.4818   0.4818   0.0200   0.0000  -0.1017   0.2223    0.461
    82  22.4080  -2.1844  -0.9570  12.4590   4.6273   6.1758  -0.0144   0.4952   0.4952   0.0223   0.0000  -0.1092   0.2331    0.470
    83  22.4080  -2.5704  -0.9570  12.4590   4.9885   6.5272  -0.0116   0.5229   0.5229   0.0380   0.0000  -0.1228   0.2538    0.485
    84  22.5966  -3.0754  -0.9200  12.2979   7.5875   7.2100   0.4168   0.7257   0.5831   0.1005   0.0000  -0.1518   0.2541    0.510
    85  22.9924  -3.7075  -0.8424  11.9598   7.8494   7.1271   0.4258   0.7382   0.5932   0.0882   0.0000  -0.1507   0.2552    0.504
    86  23.3450  -4.2708  -0.7732  11.6585   5.5431   6.2276   0.0058   0.6645   0.5340   0.0133   0.0000  -0.1151   0.2118    0.466
    87  23.6484  -4.7553  -0.7137  11.3993   5.7056   5.8140   0.0061   0.6344   0.5098   0.0145   0.0000  -0.0985   0.1926    0.443
    88  23.9670  -5.2641  -0.6513  11.1271   5.8372   5.5202   0.0065   0.6171   0.4959   0.0143   0.0000  -0.0869   0.1797    0.425
    89  24.3002  -5.7964  -0.5859  10.8424   5.9373   5.2843   0.0071   0.6063   0.4872   0.0136   0.0000  -0.0777   0.1702    0.410
    90  24.6474  -6.3509  -0.5178  10.5458   6.0058   5.0829   0.0078   0.5996   0.4818   0.0127   0.0000  -0.0703   0.1627    0.396
    91  25.0079  -6.9266  -0.4471  10.2379   6.0430   4.9043   0.0086   0.5960   0.4789   0.0117   0.0000  -0.0640   0.1567    0.384
    92  25.3809  -7.5223  -0.3740   9.9192   6.0490   4.7417   0.0092   0.5948   0.4780   0.0107   0.0000  -0.0586   0.1519    0.373
    93  25.7657  -8.1368  -0.2985   9.5905   6.0244   4.5906   0.0096   0.5956   0.4786   0.0097   0.0000  -0.0540   0.1482    0.363
    94  26.1614  -8.7690  -0.2209   9.2523   5.9700   4.4480   0.0093   0.5982   0.4807   0.0086   0.0000  -0.0501   0.1453    0.354
    95  26.5674  -9.4174  -0.1413   8.9055   5.8867   4.3110   0.0075   0.6024   0.4841   0.0077   0.0000  -0.0467   0.1431    0.346
    96  27.0024 -10.1168  -0.0685   8.6379   6.4402   4.1801   0.0067   0.6349   0.4840   0.0065   0.0000  -0.0422   0.1394    0.337
    97  27.4662 -10.8669  -0.0029   8.4530   6.4244   4.0681   0.0105   0.6315   0.4814   0.0054   0.0000  -0.0379   0.1352    0.329
    98  27.9384 -11.6306   0.0640   8.2648   6.3881   3.9627   0.0127   0.6292   0.4796   0.0042   0.0000  -0.0345   0.1320    0.322
    99  28.4181 -12.4065   0.1318   8.0736   6.3319   3.8612   0.0140   0.6276   0.4784   0.0032   0.0000  -0.0319   0.1295    0.317
   100  28.9043 -13.1928   0.2006   7.8797   6.2569   3.7621   0.0147   0.6266   0.4777   0.0022   0.0000  -0.0298   0.1275    0.312
   101  29.3961 -13.9881   0.2702   7.6837   6.1641   3.6643   0.0152   0.6259   0.4771   0.0013   0.0000  -0.0282   0.1261    0.309
   102  29.8923 -14.7908   0.3404   7.4858   6.0545   3.5670   0.0153   0.6255   0.4768   0.0005   0.0000  -0.0271   0.1250    0.307
   103  30.3921 -15.5992   0.4112   7.2866   5.9293   3.4698   0.0153   0.6251   0.4765  -0.0002   0.0000  -0.0264   0.1243    0.305
   104  30.8945 -16.4116   0.4822   7.0863   5.7897   3.3722   0.0150   0.6247   0.4762  -0.0009   0.0000  -0.0260   0.1240    0.305
   105  31.3984 -17.2266   0.5535   6.8855   5.6369   3.2742   0.0146   0.6242   0.4759  -0.0014   0.0000  -0.0261   0.1239    0.305
   106  31.9027 -18.0423   0.6249   6.6844   5.4723   3.1758   0.0140   0.6237   0.4755  -0.0019   0.0000  -0.0266   0.1243    0.306
   107  32.4066 -18.8573   0.6962   6.4835   5.2972   3.0774   0.0133   0.6231   0.4750  -0.0021   0.0000  -0.0279   0.1253    0.309
   108  32.9089 -19.6698   0.7673   6.2832   5.1129   2.9793   0.0126   0.6225   0.4745  -0.0022   0.0000  -0.0301   0.1271    0.313
   109  33.4087 -20.4781   0.8380   6.0840   4.9207   2.8822   0.0119   0.6219   0.4741  -0.0019   0.0000  -0.0337   0.1300    0.321
   110  33.9050 -21.2808   0.9082   5.8861   4.7221   2.7866   0.0113   0.6214   0.4737  -0.0006   0.0000  -0.0395   0.1349    0.333
   111  34.3967 -22.0761   0.9778   5.6901   4.5183   2.6935   0.0106   0.6212   0.4735   0.0039   0.0000  -0.0495   0.1434    0.355
   112  34.7955 -22.7211   1.0342   5.5311   2.7734   2.6152   0.0103   0.6209   0.4733  -0.0061   0.0000  -0.0750   0.1649    0.408
   113  35.1799 -23.3428   1.0886   5.3779   4.0090   2.5397   0.0102   0.6203   0.4728  -0.0089   0.0000  -0.0845   0.1729    0.429
   114  35.6353 -24.0794   1.1531   5.1963   3.8090   2.4555   0.0102   0.6207   0.4732  -0.0096   0.0000  -0.0887   0.1765    0.437
   115  36.0826 -24.8028   1.2163   5.0180   3.6083   2.3725   0.0103   0.6210   0.4734  -0.0096   0.0000  -0.0907   0.1783    0.442
   116  36.5209 -25.5117   1.2784   4.8433   3.4082   2.2911   0.0105   0.6214   0.4737  -0.0095   0.0000  -0.0917   0.1792    0.444
   117  36.9492 -26.2045   1.3390   4.6725   3.2096   2.2113   0.0109   0.6216   0.4739  -0.0094   0.0000  -0.0922   0.1797    0.445
   118  37.3668 -26.8799   1.3981   4.5060   3.0133   2.1330   0.0114   0.6218   0.4740  -0.0094   0.0000  -0.0924   0.1799    0.445
   119  37.7728 -27.5366   1.4555   4.3442   2.8202   2.0559   0.0121   0.6216   0.4739  -0.0094   0.0000  -0.0924   0.1798    0.445
   120  38.1664 -28.1731   1.5112   4.1873   2.6312   1.9798   0.0130   0.6211   0.4734  -0.0095   0.0000  -0.0921   0.1795    0.444
