 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00398     Clsurf  =   0.00508
     CYsurf  =  -0.00025     Cmsurf  =  -0.00510
     CDsurf  =   0.00112     Cnsurf  =  -0.00017
     CDisurf =   0.00112     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.00781     CDsurf  =   0.00219

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    96  22.6846  -3.2159  -0.9028  12.2227   3.7885   2.4991   0.3830   0.2546   0.2063   0.0489   0.0000  -0.1201   0.1453    0.832
    97  22.8826  -3.5322  -0.8639  12.0536   3.9437   2.4903   0.3933   0.2570   0.2083   0.0444   0.0000  -0.1208   0.1464    0.830
    98  23.0912  -3.8653  -0.8230  11.8754   4.0839   2.2825   0.3976   0.2389   0.1936   0.0369   0.0000  -0.1134   0.1370    0.836
    99  23.3498  -4.2783  -0.7723  11.6545   5.7066   1.5784  -0.0262   0.1670   0.1353  -0.0057   0.0000  -0.0855   0.1013    0.882
   100  23.6607  -4.7750  -0.7113  11.3888   5.8186   1.2437  -0.0276   0.1347   0.1091  -0.0036   0.0000  -0.0724   0.0847    0.914
   101  23.9847  -5.2923  -0.6478  11.1120   5.9047   1.0107  -0.0285   0.1122   0.0909  -0.0026   0.0000  -0.0634   0.0732    0.947
   102  24.3210  -5.8296  -0.5818  10.8247   5.9646   0.8294  -0.0287   0.0945   0.0766  -0.0021   0.0000  -0.0565   0.0642    0.987
   103  24.6694  -6.3859  -0.5135  10.5270   5.9985   0.6802  -0.0280   0.0797   0.0646  -0.0017   0.0000  -0.0508   0.0569    1.037
   104  25.0291  -6.9605  -0.4430  10.2197   6.0065   0.5534  -0.0266   0.0668   0.0541  -0.0015   0.0000  -0.0461   0.0507    1.102
   105  25.3998  -7.5524  -0.3703   9.9031   5.9889   0.4432  -0.0244   0.0552   0.0447  -0.0013   0.0000  -0.0421   0.0453    1.191
   106  25.7806  -8.1608  -0.2956   9.5777   5.9462   0.3459  -0.0216   0.0446   0.0361  -0.0011   0.0000  -0.0386   0.0405    1.320
   107  26.1712  -8.7846  -0.2190   9.2440   5.8788   0.2588  -0.0183   0.0345   0.0280  -0.0010   0.0000  -0.0357   0.0363    1.524
   108  26.5709  -9.4230  -0.1406   8.9025   5.7875   0.1798  -0.0154   0.0249   0.0202  -0.0008   0.0000  -0.0330   0.0324    1.887
   109  26.9647 -10.0557  -0.0738   8.6530   5.3824   0.1115  -0.0120   0.0168   0.0129  -0.0007   0.0000  -0.0305   0.0287  999.000
   110  27.3514 -10.6811  -0.0191   8.4988   5.3831   0.0559  -0.0076   0.0086   0.0066  -0.0005   0.0000  -0.0284   0.0256  999.000
   111  27.7448 -11.3174   0.0366   8.3420   5.3704   0.0055  -0.0049   0.0008   0.0006  -0.0004   0.0000  -0.0267   0.0229  999.000
   112  28.1443 -11.9635   0.0931   8.1827   5.3448  -0.0412  -0.0034  -0.0066  -0.0051  -0.0003   0.0000  -0.0253   0.0205  999.000
   113  28.5492 -12.6185   0.1504   8.0213   5.3066  -0.0848  -0.0028  -0.0138  -0.0106  -0.0002   0.0000  -0.0243   0.0185  999.000
   114  28.9591 -13.2814   0.2084   7.8579   5.2564  -0.1258  -0.0027  -0.0209  -0.0160  -0.0001   0.0000  -0.0235   0.0166  999.000
   115  29.3731 -13.9510   0.2670   7.6928   5.1948  -0.1646  -0.0029  -0.0279  -0.0214   0.0000   0.0000  -0.0229   0.0150   -0.819
   116  29.7907 -14.6265   0.3261   7.5263   5.1222  -0.2015  -0.0033  -0.0349  -0.0268   0.0001   0.0000  -0.0225   0.0135   -0.590
   117  30.2113 -15.3067   0.3856   7.3587   5.0393  -0.2368  -0.0039  -0.0419  -0.0322   0.0002   0.0000  -0.0223   0.0122   -0.443
   118  30.6342 -15.9907   0.4454   7.1901   4.9468  -0.2706  -0.0045  -0.0491  -0.0377   0.0003   0.0000  -0.0223   0.0111   -0.343
   119  31.0587 -16.6772   0.5055   7.0209   4.8453  -0.3031  -0.0053  -0.0563  -0.0432   0.0004   0.0000  -0.0226   0.0101   -0.273
   120  31.4842 -17.3654   0.5657   6.8512   4.7356  -0.3343  -0.0061  -0.0636  -0.0488   0.0005   0.0000  -0.0231   0.0094   -0.223
   121  31.9100 -18.0541   0.6259   6.6815   4.6182  -0.3640  -0.0069  -0.0710  -0.0545   0.0006   0.0000  -0.0239   0.0089   -0.189
   122  32.3355 -18.7423   0.6861   6.5119   4.4941  -0.3921  -0.0077  -0.0785  -0.0602   0.0007   0.0000  -0.0253   0.0088   -0.169
   123  32.7600 -19.4289   0.7462   6.3426   4.3638  -0.4184  -0.0086  -0.0860  -0.0660   0.0007   0.0000  -0.0272   0.0092   -0.162
   124  33.1829 -20.1128   0.8060   6.1740   4.2281  -0.4426  -0.0094  -0.0934  -0.0717   0.0008   0.0000  -0.0300   0.0104   -0.168
   125  33.6034 -20.7930   0.8655   6.0064   4.0877  -0.4646  -0.0102  -0.1008  -0.0774   0.0008   0.0000  -0.0340   0.0127   -0.190
