 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00399     Clsurf  =   0.00447
     CYsurf  =  -0.00031     Cmsurf  =  -0.01266
     CDsurf  =   0.00100     Cnsurf  =  -0.00002
     CDisurf =   0.00100     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.00785     CDsurf  =   0.00196

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    65  43.4828  34.4691   2.0621   1.6240   0.3131  -0.1168  -0.0033  -0.3227  -0.0721  -0.0021   0.0000  -0.0136   0.0016    0.061
    66  43.8744  34.6440   2.0774   1.3796   0.2184  -0.0953  -0.0037  -0.3100  -0.0692  -0.0022   0.0000  -0.0148   0.0008    0.036
    67  44.1886  34.7843   2.0896   1.1834   0.1461  -0.0738  -0.0036  -0.2798  -0.0625  -0.0024   0.0000  -0.0162  -0.0004   -0.009
    68  44.4248  34.8899   2.0989   1.0359   0.0915  -0.0524  -0.0031  -0.2271  -0.0507  -0.0027   0.0000  -0.0161  -0.0016   -0.068
    69  44.5826  34.9603   2.1050   0.9375   0.0498  -0.0313  -0.0026  -0.1500  -0.0335  -0.0032   0.0000  -0.0129  -0.0020   -0.134
    70  44.6615  34.9956   2.1081   0.8882   0.0157  -0.0104  -0.0019  -0.0530  -0.0118  -0.0042   0.0000  -0.0053  -0.0010   -0.196

  Surface # 2     main_wing (YDUP)                        
     # Chordwise = 10   # Spanwise = 70     First strip = 71
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00399     Clsurf  =  -0.00447
     CYsurf  =   0.00031     Cmsurf  =  -0.01266
     CDsurf  =   0.00100     Cnsurf  =   0.00002
     CDisurf =   0.00100     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.00785     CDsurf  =   0.00196

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    71  22.4080  -0.0042  -0.9570  12.4590   0.2104   0.9385  -0.0909   0.0753   0.0753  -0.0017   0.0000  -0.0400   0.0588    0.781
    72  22.4080  -0.0380  -0.9570  12.4590   0.6307   0.9386  -0.0909   0.0753   0.0753  -0.0017   0.0000  -0.0400   0.0588    0.781
    73  22.4080  -0.1054  -0.9570  12.4590   1.0498   0.9393  -0.0910   0.0754   0.0754  -0.0017   0.0000  -0.0400   0.0589    0.781
    74  22.4080  -0.2065  -0.9570  12.4590   1.4668   0.9414  -0.0911   0.0755   0.0755  -0.0017   0.0000  -0.0401   0.0590    0.781
    75  22.4080  -0.3408  -0.9570  12.4590   1.8808   0.9465  -0.0915   0.0760   0.0760  -0.0016   0.0000  -0.0404   0.0594    0.781
    76  22.4080  -0.5083  -0.9570  12.4590   2.2910   0.9565  -0.0922   0.0768   0.0768  -0.0016   0.0000  -0.0408   0.0600    0.782
