 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  0.0000       Yref =  0.0000       Zref =  0.0000    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 70     First strip =  1
     Surface area Ssurf =  250.220834     Ave. chord Cave =    7.118896

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =   0.00663     Clsurf  =   0.00449
     CYsurf  =  -0.00053     Cmsurf  =  -0.02451
     CDsurf  =   0.00109     Cnsurf  =   0.00009
     CDisurf =   0.00109     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =   0.01304     CDsurf  =   0.00213

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    46  36.5209  25.5117   1.2784   4.8433   3.4082  -0.4977  -0.0132  -0.1340  -0.1028  -0.0002   0.0000  -0.0749  -0.0421   -0.478
    47  36.9492  26.2045   1.3390   4.6725   3.2096  -0.4984  -0.0134  -0.1391  -0.1067  -0.0006   0.0000  -0.0756  -0.0419   -0.459
    48  37.3668  26.8799   1.3981   4.5060   3.0133  -0.4960  -0.0136  -0.1436  -0.1102  -0.0008   0.0000  -0.0762  -0.0417   -0.441
    49  37.7728  27.5366   1.4555   4.3442   2.8202  -0.4908  -0.0138  -0.1474  -0.1131  -0.0010   0.0000  -0.0766  -0.0414   -0.427
    50  38.1664  28.1731   1.5112   4.1873   2.6312  -0.4828  -0.0140  -0.1504  -0.1154  -0.0012   0.0000  -0.0770  -0.0413   -0.417
    51  38.5467  28.7882   1.5650   4.0357   2.4467  -0.4720  -0.0142  -0.1526  -0.1171  -0.0013   0.0000  -0.0774  -0.0413   -0.411
    52  38.9130  29.3807   1.6168   3.8896   2.2675  -0.4584  -0.0144  -0.1537  -0.1180  -0.0014   0.0000  -0.0778  -0.0414   -0.409
    53  39.2646  29.9494   1.6666   3.7494   2.0939  -0.4419  -0.0145  -0.1537  -0.1180  -0.0016   0.0000  -0.0782  -0.0418   -0.413
    54  39.6008  30.4931   1.7142   3.6154   1.9264  -0.4223  -0.0144  -0.1524  -0.1169  -0.0018   0.0000  -0.0787  -0.0424   -0.423
    55  39.9208  31.0107   1.7595   3.4878   1.7654  -0.3995  -0.0142  -0.1494  -0.1147  -0.0021   0.0000  -0.0790  -0.0431   -0.438
    56  40.2241  31.5013   1.8024   3.3669   1.6109  -0.3738  -0.0135  -0.1449  -0.1112  -0.0024   0.0000  -0.0789  -0.0438   -0.460
