 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Sref =  490.60       Cref =  8.4083       Bref =  70.000    
  Xref =  29.948       Yref =  0.0000       Zref =-0.24644    

  Surface # 1     main_wing                               
     # Chordwise = 10   # Spanwise = 80     First strip =  1
     Surface area Ssurf =  250.220919     Ave. chord Cave =    7.118898

 Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         
     CLsurf  =  -0.00177     Clsurf  =   0.00504
     CYsurf  =   0.00023     Cmsurf  =   0.00196
     CDsurf  =   0.00091     Cnsurf  =  -0.00019
     CDisurf =   0.00091     CDvsurf =   0.00000

 Forces referred to Ssurf, Cave 
     CLsurf  =  -0.00349     CDsurf  =   0.00178

 Strip Forces referred to Strip Area, Chord
    j     Xle      Yle      Zle      Chord    Area     c_cl     ai     cl_norm    cl       cd       cdv    cm_c/4     cm_LE   C.P.x/c
    95  22.4974  -2.9170  -0.9395  12.3826   3.6189   1.9270   0.3631   0.1937   0.1569   0.0351   0.0000  -0.0831   0.1036    0.780
    96  22.6846  -3.2159  -0.9028  12.2227   3.7885   2.1014   0.3767   0.2138   0.1733   0.0354   0.0000  -0.0908   0.1135    0.774
    97  22.8826  -3.5322  -0.8639  12.0536   3.9437   2.1041   0.3865   0.2170   0.1758   0.0340   0.0000  -0.0917   0.1149    0.771
    98  23.0912  -3.8653  -0.8230  11.8754   4.0839   1.9073   0.3910   0.1996   0.1617   0.0295   0.0000  -0.0846   0.1059    0.773
    99  23.3498  -4.2783  -0.7723  11.6545   5.7066   1.2174  -0.0318   0.1289   0.1044  -0.0027   0.0000  -0.0572   0.0707    0.797
   100  23.6607  -4.7750  -0.7113  11.3888   5.8186   0.9005  -0.0317   0.0976   0.0791  -0.0017   0.0000  -0.0449   0.0549    0.818
   101  23.9847  -5.2923  -0.6478  11.1120   5.9047   0.6878  -0.0311   0.0764   0.0619  -0.0013   0.0000  -0.0370   0.0446    0.848
   102  24.3210  -5.8296  -0.5818  10.8247   5.9646   0.5284  -0.0298   0.0602   0.0488  -0.0010   0.0000  -0.0313   0.0369    0.892
   103  24.6694  -6.3859  -0.5135  10.5270   5.9985   0.4020  -0.0280   0.0471   0.0382  -0.0008   0.0000  -0.0270   0.0311    0.958
   104  25.0291  -6.9605  -0.4430  10.2197   6.0065   0.2984  -0.0259   0.0360   0.0292  -0.0007   0.0000  -0.0238   0.0264    1.064
